YBR018C	YNL161W
YBR018C	YPR054W
YBR025C	YBR055C
YBR025C	YBR198C
YBR025C	YDR398W
YBR025C	YKL081W
YBR025C	YMR059W
YBR025C	YNL088W
YBR025C	YOL090W
YBR028C	YHR135C
YBR035C	YDL101C
YBR039W	YDL029W
YBR039W	YDL047W
YBR039W	YDL059C
YBR039W	YDL145C
YBR039W	YDR523C
YBR039W	YER171W
YBR039W	YFR028C
YBR039W	YGL237C
YBR039W	YHR197W
YBR039W	YJR068W
YBR039W	YKR036C
YBR039W	YML058W
YBR039W	YMR059W
YBR039W	YMR106C
YBR039W	YOL087C
YBR039W	YPL256C
YBR044C	YBR221C
YBR049C	YDR303C
YBR049C	YGL234W
YBR049C	YGR274C
YBR049C	YKR001C
YBR049C	YLR176C
YBR049C	YLR357W
YBR049C	YMR091C
YBR049C	YNL189W
YBR049C	YOL006C
YBR049C	YPL082C
YBR049C	YPR110C
YBR055C	YBR121C
YBR055C	YBR126C
YBR055C	YBR133C
YBR055C	YBR149W
YBR055C	YBR152W
YBR055C	YCR002C
YBR055C	YCR053W
YBR055C	YDL078C
YBR055C	YDL124W
YBR055C	YDR037W
YBR055C	YDR129C
YBR055C	YDR158W
YBR055C	YDR283C
YBR055C	YDR353W
YBR055C	YDR473C
YBR055C	YEL034W
YBR055C	YER003C
YBR055C	YER146W
YBR055C	YER165W
YBR055C	YER172C
YBR055C	YFL017WA
YBR055C	YGR061C
YBR055C	YGR074W
YBR055C	YGR091W
YBR055C	YGR204W
YBR055C	YHR019C
YBR055C	YHR064C
YBR055C	YHR165C
YBR055C	YHR208W
YBR055C	YJL080C
YBR055C	YJL167W
YBR055C	YJR104C
YBR055C	YJR105W
YBR055C	YKL085W
YBR055C	YKL157W
YBR055C	YKL210W
YBR055C	YLL018C
YBR055C	YLR153C
YBR055C	YLR432W
YBR055C	YMR012W
YBR055C	YMR105C
YBR055C	YMR120C
YBR055C	YMR205C
YBR055C	YNL147W
YBR055C	YOR120W
YBR055C	YOR159C
YBR055C	YOR335C
YBR055C	YPL004C
YBR055C	YPL028W
YBR055C	YPR160W
YBR055C	YPR178W
YBR055C	YPR182W
YBR057C	YGL036W
YBR057C	YKR031C
YBR057C	YLR222C
YBR058C	YMR309C
YBR058C	YOL086C
YBR059C	YGL213C
YBR059C	YIL095W
YBR059C	YPR033C
YBR060C	YHR118C
YBR060C	YLL004W
YBR060C	YML065W
YBR060C	YNL261W
YBR060C	YPR162C
YBR063C	YDR369C
YBR065C	YLL036C
YBR065C	YLR117C
YBR065C	YMR213W
YBR065C	YPL151C
YBR065C	YPR182W
YBR069C	YDL043C
YBR069C	YDR171W
YBR069C	YER110C
YBR069C	YGR218W
YBR069C	YHR020W
YBR069C	YJR077C
YBR069C	YLR044C
YBR069C	YNL064C
YBR069C	YPL233W
YBR078W	YOL133W
YBR079C	YBR143C
YBR079C	YDL005C
YBR079C	YDR091C
YBR079C	YGL130W
YBR079C	YJR007W
YBR079C	YLR192C
YBR079C	YMR146C
YBR079C	YMR309C
YBR079C	YNL244C
YBR079C	YOL087C
YBR079C	YOR039W
YBR079C	YOR361C
YBR079C	YPL001W
YBR079C	YPL237W
YBR079C	YPR016C
YBR079C	YPR086W
YBR080C	YBR217W
YBR080C	YGL137W
YBR080C	YGR262C
YBR081C	YBR198C
YBR081C	YBR253W
YBR081C	YCL010C
YBR081C	YDR146C
YBR081C	YDR167W
YBR081C	YDR176W
YBR081C	YDR448W
YBR081C	YGL066W
YBR081C	YGL112C
YBR081C	YGL244W
YBR081C	YGR252W
YBR081C	YLR055C
YBR081C	YML007W
YBR081C	YMR223W
YBR081C	YMR236W
YBR081C	YOL148C
YBR081C	YPL254W
YBR081C	YPR025C
YBR082C	YDR529C
YBR082C	YKL010C
YBR083W	YDR224C
YBR083W	YGR040W
YBR083W	YHR084W
YBR084W	YBR143C
YBR084W	YFR031CA
YBR084W	YGL099W
YBR084W	YGR285C
YBR084W	YHR013C
YBR084W	YHR089C
YBR084W	YKL135C
YBR085W	YBR217W
YBR085W	YDL059C
YBR085W	YER161C
YBR085W	YER171W
YBR085W	YGL237C
YBR085W	YGR262C
YBR085W	YHR135C
YBR085W	YJL173C
YBR085W	YML058W
YBR085W	YOR181W
YBR086C	YPR086W
YBR087W	YER173W
YBR087W	YMR078C
YBR087W	YMR181C
YBR087W	YNL088W
YBR087W	YNL290W
YBR087W	YOL094C
YBR087W	YOR144C
YBR087W	YOR217W
YBR088C	YDL164C
YBR088C	YER041W
YBR088C	YGR155W
YBR088C	YKL113C
YBR088C	YML056C
YBR088C	YOR116C
YBR088C	YPL140C
YBR089CA	YBR245C
YBR089CA	YFR013W
YBR089CA	YFR037C
YBR089CA	YGL133W
YBR089CA	YIL126W
YBR089CA	YJL026W
YBR089CA	YKR001C
YBR089CA	YLR033W
YBR089CA	YLR321C
YBR089CA	YMR125W
YBR089CA	YNR003C
YBR089CA	YOR110W
YBR089CA	YOR116C
YBR089CA	YOR304W
YBR089CA	YPL082C
YBR089CA	YPL235W
YBR094W	YOR061W
YBR095C	YNL330C
YBR095C	YOL004W
YBR098W	YDR386W
YBR101C	YDR171W
YBR101C	YKR059W
YBR102C	YDR166C
YBR102C	YER008C
YBR102C	YIL068C
YBR102C	YLR166C
YBR102C	YML097C
YBR102C	YPR055W
YBR103W	YCR033W
YBR103W	YDL112W
YBR103W	YDL185W
YBR103W	YDR155C
YBR103W	YEL064C
YBR103W	YGL194C
YBR103W	YGR296W
YBR103W	YIL112W
YBR103W	YKR029C
YBR103W	YLR347C
YBR103W	YLR409C
YBR103W	YML109W
YBR103W	YMR155W
YBR103W	YMR273C
YBR103W	YNL189W
YBR103W	YOL068C
YBR105C	YCL039W
YBR105C	YMR061W
YBR107C	YBR211C
YBR107C	YDR254W
YBR107C	YDR318W
YBR107C	YDR383C
YBR107C	YJR135C
YBR107C	YLR381W
YBR107C	YPL018W
YBR109C	YBR130C
YBR109C	YDR032C
YBR109C	YDR155C
YBR109C	YDR356W
YBR109C	YEL034W
YBR109C	YFR014C
YBR109C	YGL106W
